Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-31 12:04:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:05:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:06:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:07:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:08:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:09:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:10:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:11:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:12:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:13:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:14:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:15:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:16:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:17:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:18:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:19:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:20:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:21:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:22:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:23:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:24:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:25:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:26:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:27:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:28:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:29:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:30:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:31:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:32:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:33:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:34:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:35:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:36:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:37:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:38:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:39:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:40:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:41:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:42:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:43:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:44:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:45:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:46:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:47:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:48:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:49:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:50:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:51:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:52:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:53:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:54:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:55:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:56:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:57:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:58:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 12:59:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 13:00:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 13:01:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 13:02:00-05:00,30.38,30.38,30.38,30.38,0,0,0
2019-12-31 13:03:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:04:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:05:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:06:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:07:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:09:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:10:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:11:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:12:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:13:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:14:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:15:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:16:00-05:00,30.39,30.39,30.39,30.39,0,0,0
2019-12-31 13:17:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:18:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:19:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:20:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:21:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:22:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:23:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:24:00-05:00,30.41,30.41,30.41,30.41,0,0,0
2019-12-31 13:25:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:26:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:27:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:28:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:29:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:30:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:31:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:32:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:33:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:34:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:35:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:36:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:37:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:38:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:39:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:40:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:41:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:42:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:43:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:44:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:45:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:46:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:47:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:48:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:49:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:50:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:51:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:52:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:53:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:54:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:55:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:56:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:57:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:58:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 13:59:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 14:00:00-05:00,30.4,30.4,30.4,30.4,0,0,0
2019-12-31 14:01:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:02:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:03:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:04:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:05:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:06:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:07:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:08:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:09:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:10:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:11:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:12:00-05:00,30.42,30.43,30.42,30.43,0,0,0
2019-12-31 14:13:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:14:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:15:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:16:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:17:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:18:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 14:19:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:20:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:21:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:22:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:23:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:24:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:25:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:26:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:27:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:28:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:29:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:30:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:31:00-05:00,30.43,30.44,30.43,30.44,0,0,0
2019-12-31 14:32:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:33:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:34:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:35:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 14:36:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:37:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:38:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:39:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:40:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:41:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:42:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:43:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:44:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:45:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:46:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:47:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:48:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:49:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:50:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:51:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:52:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:53:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:54:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:55:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:56:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:57:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:58:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 14:59:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:00:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:01:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:02:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:03:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:04:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:05:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:06:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:07:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:08:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:09:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:10:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2019-12-31 15:11:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:12:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:13:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:14:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:15:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:16:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:17:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:18:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:19:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:20:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:21:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:22:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:23:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:24:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:25:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:26:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:27:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:28:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:29:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:30:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:31:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:32:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:33:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:34:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:35:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:36:00-05:00,30.42,30.42,30.42,30.42,0,0,0
2019-12-31 15:37:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:38:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:39:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:40:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:41:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:42:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:43:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:44:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:45:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:46:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:47:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:48:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:49:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:50:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:51:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2019-12-31 15:52:00-05:00,30.44,30.45,30.44,30.45,0,0,0
2019-12-31 15:53:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:54:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:55:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:56:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:57:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:58:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2019-12-31 15:59:00-05:00,30.45,30.49,30.45,30.49,0,0,0
2020-01-02 09:30:00-05:00,30.63,30.63,30.63,30.63,0,0,0
2020-01-02 09:31:00-05:00,30.63,30.63,30.63,30.63,0,0,0
2020-01-02 09:32:00-05:00,30.63,30.63,30.63,30.63,0,0,0
2020-01-02 09:33:00-05:00,30.63,30.63,30.63,30.63,0,0,0
2020-01-02 09:34:00-05:00,30.61,30.61,30.61,30.61,0,0,0
2020-01-02 09:35:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:36:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:37:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:38:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:39:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:40:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:41:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:42:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:43:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:44:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:45:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:46:00-05:00,30.59,30.59,30.59,30.59,0,0,0
2020-01-02 09:47:00-05:00,30.59,30.59,30.59,30.59,0,0,0
2020-01-02 09:48:00-05:00,30.62,30.62,30.62,30.62,0,0,0
2020-01-02 09:49:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:50:00-05:00,30.6,30.6,30.6,30.6,0,0,0
2020-01-02 09:51:00-05:00,30.59,30.59,30.59,30.59,0,0,0
2020-01-02 09:52:00-05:00,30.58,30.58,30.58,30.58,0,0,0
2020-01-02 09:53:00-05:00,30.58,30.58,30.58,30.58,0,0,0
2020-01-02 09:54:00-05:00,30.58,30.58,30.58,30.58,0,0,0
2020-01-02 09:55:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 09:56:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 09:57:00-05:00,30.58,30.58,30.58,30.58,0,0,0
2020-01-02 09:58:00-05:00,30.58,30.58,30.58,30.58,0,0,0
2020-01-02 09:59:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:00:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:01:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:02:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:03:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:04:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:05:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:06:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:07:00-05:00,30.57,30.57,30.57,30.57,0,0,0
2020-01-02 10:08:00-05:00,30.51,30.51,30.51,30.51,0,0,0
2020-01-02 10:09:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:10:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:11:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:12:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:13:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:14:00-05:00,30.52,30.52,30.52,30.52,0,0,0
2020-01-02 10:15:00-05:00,30.51,30.51,30.51,30.51,0,0,0
2020-01-02 10:16:00-05:00,30.51,30.51,30.51,30.51,0,0,0
2020-01-02 10:17:00-05:00,30.51,30.51,30.51,30.51,0,0,0
2020-01-02 10:18:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:19:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:20:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:21:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:22:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:23:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:24:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:25:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:26:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:27:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:28:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:29:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:30:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:31:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:32:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:33:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:34:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:35:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:36:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:37:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:38:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:39:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:40:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:41:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:42:00-05:00,30.5,30.5,30.5,30.5,0,0,0
2020-01-02 10:43:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:44:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:45:00-05:00,30.48,30.48,30.48,30.48,0,0,0
2020-01-02 10:46:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:47:00-05:00,30.49,30.49,30.49,30.49,0,0,0
2020-01-02 10:48:00-05:00,30.49,30.49,30.48,30.48,0,0,0
2020-01-02 10:52:00-05:00,30.45,30.45,30.45,30.45,0,0,0
2020-01-02 10:53:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:54:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:55:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:56:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:57:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:58:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 10:59:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:00:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:01:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:02:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:03:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:04:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:07:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:08:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:09:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:10:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:11:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:12:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:13:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:14:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:17:00-05:00,30.47,30.47,30.47,30.47,0,0,0
2020-01-02 11:18:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:19:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:20:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:21:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:22:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:23:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:24:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:25:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:26:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:27:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:28:00-05:00,30.46,30.46,30.46,30.46,0,0,0
2020-01-02 11:29:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2020-01-02 11:30:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2020-01-02 11:31:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2020-01-02 11:32:00-05:00,30.44,30.44,30.44,30.44,0,0,0
2020-01-02 11:33:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:34:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:35:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:36:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:37:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:38:00-05:00,30.43,30.43,30.43,30.43,0,0,0
2020-01-02 11:39:00-05:00,30.43,30.43,30.43,30.43,0,0,0
